CAMPUS,PROGRAM,DEGREE,CONCENTRATION,PROGRAM_NAME,CIP_CODE,CIP_2DIGIT_CATEGORY
University of Hawaii at West Oahu,Applied Science,Bachelor of Applied Science,Health Information Management,Applied Science (Bachelor of Applied Science - Health Information Management),309999,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Manoa,Data Science,Subject Certificate,,Data Science (Subject Certificate),307001,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Hilo,Data Science,Bachelor of Science,Astronomy,Data Science (Bachelor of Science - Astronomy),307001,MULTI/INTERDISCIPLINARY STUDIES
Kapiolani Community College,Natural Science,Associate in Science,Information& Computer Sciences,Natural Science (Associate in Science - Information& Computer Sciences),301801,MULTI/INTERDISCIPLINARY STUDIES
UH Maui College,Natural Science,Associate in Science,Information& Computer Sciences,Natural Science (Associate in Science - Information& Computer Sciences),301801,MULTI/INTERDISCIPLINARY STUDIES
UH Maui College,Natural Science,Certificate of Competence,Science Lab Technician,Natural Science (Certificate of Competence - Science Lab Technician),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at West Oahu,Natural Science,Bachelor of Science,Health Sciences,Natural Science (Bachelor of Science - Health Sciences),301801,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Manoa,Nutritional Sciences,Doctor of Philosophy,,Nutritional Sciences (Doctor of Philosophy),301901,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at West Oahu,Applied Science,Bachelor of Applied Science,Respiratory Care,Applied Science (Bachelor of Applied Science - Respiratory Care),309999,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at West Oahu,Applied Science,Bachelor of Applied Science,Information Technology,Applied Science (Bachelor of Applied Science - Information Technology),309999,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at West Oahu,Applied Science,Bachelor of Applied Science,Sustainable Community Food Sys,Applied Science (Bachelor of Applied Science - Sustainable Community Food Sys),309999,MULTI/INTERDISCIPLINARY STUDIES
University of Hawaii at Hilo,Kinesiology & Exercise Science,Bachelor of Arts,Health Promotion,Kinesiology & Exercise Science (Bachelor of Arts - Health Promotion),310505,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES"
University of Hawaii at Hilo,Kinesiology & Exercise Science,Bachelor of Arts,Sports Medicine & Therapy,Kinesiology & Exercise Science (Bachelor of Arts - Sports Medicine & Therapy),310505,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES"
University of Hawaii at Manoa,Philosophy,Bachelor of Arts,,Philosophy (Bachelor of Arts),380101,PHILOSOPHY AND RELIGIOUS STUDIES
Windward Community College,Marine Option Program,Academic Subject Certificate,,Marine Option Program (Academic Subject Certificate),400699,PHYSICAL SCIENCES
University of Hawaii at Manoa,Environmental Earth Science,Bachelor of Arts,Envir Earth Science-General,Environmental Earth Science (Bachelor of Arts - Envir Earth Science-General),400601,PHYSICAL SCIENCES
University of Hawaii at Manoa,Earth Sciences,Bachelor of Science,Environmental & Hydrology,Earth Sciences (Bachelor of Science - Environmental & Hydrology),400601,PHYSICAL SCIENCES
Windward Community College,Agripharmatech,Certificate of Competence,Plant-Food Production and Tech,Agripharmatech (Certificate of Competence - Plant-Food Production and Tech),410101,SCIENCE TECHNOLOGIES/TECHNICIANS
Windward Community College,Agripharmatech,Certificate of Achievement,Plant Biotechnology,Agripharmatech (Certificate of Achievement - Plant Biotechnology),410101,SCIENCE TECHNOLOGIES/TECHNICIANS
Windward Community College,Agripharmatech,Certificate of Achievement,Limu Culture,Agripharmatech (Certificate of Achievement - Limu Culture),410101,SCIENCE TECHNOLOGIES/TECHNICIANS
Windward Community College,Agripharmatech,Certificate of Achievement,Ethnopharmacognosy,Agripharmatech (Certificate of Achievement - Ethnopharmacognosy),410101,SCIENCE TECHNOLOGIES/TECHNICIANS
University of Hawaii at Manoa,Educational Psychology,Master of Education,,Educational Psychology (Master of Education),422806,PSYCHOLOGY
University of Hawaii at Manoa,Psychology,Master of Arts,Neurosciences,Psychology (Master of Arts - Neurosciences),420101,PSYCHOLOGY
University of Hawaii at Manoa,Psychology,Master of Arts,,Psychology (Master of Arts),422799,PSYCHOLOGY
UH Maui College,Administration of Justice,Certificate of Competence,Private Security II,Administration of Justice (Certificate of Competence - Private Security II),430107,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES"
UH Maui College,Human Services,Associate in Science,Early Childhood Education,Human Services (Associate in Science - Early Childhood Education),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
UH Maui College,Human Services,Certificate of Competence,Preschool Child Dev Associate,Human Services (Certificate of Competence - Preschool Child Dev Associate),440000,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
University of Hawaii at Manoa,Sociology,Doctor of Philosophy,,Sociology (Doctor of Philosophy),451101,SOCIAL SCIENCES
University of Hawaii at Manoa,Anthropology,Doctor of Philosophy,,Anthropology (Doctor of Philosophy),450201,SOCIAL SCIENCES
Kauai Community College,Geographical Information Sys,Certificate of Competence,,Geographical Information Sys (Certificate of Competence),450799,SOCIAL SCIENCES
University of Hawaii at Hilo,Anthropology,Bachelor of Arts,Medical Anthropology,Anthropology (Bachelor of Arts - Medical Anthropology),450201,SOCIAL SCIENCES
University of Hawaii at West Oahu,Social Science,Bachelor of Arts,Economics & Finance,Social Science (Bachelor of Arts - Economics & Finance),450101,SOCIAL SCIENCES
University of Hawaii at Manoa,Economics,Bachelor of Arts,,Economics (Bachelor of Arts),450601,SOCIAL SCIENCES
Honolulu Community College,Applied Trades,Associate in Applied Science,,Applied Trades (Associate in Applied Science),460000,CONSTRUCTION TRADES
Kauai Community College,Electrical Install&Maint Tech,Certificate of Competence,,Electrical Install&Maint Tech (Certificate of Competence),460302,CONSTRUCTION TRADES
Honolulu Community College,Applied Trades,Certificate of Competence,,Applied Trades (Certificate of Competence),460000,CONSTRUCTION TRADES
UH Maui College,Construction Technology,Certificate of Competence,Maintenance Painting,Construction Technology (Certificate of Competence - Maintenance Painting),460415,CONSTRUCTION TRADES
UH Maui College,Construction Technology,Certificate of Competence,Small Equipment Repair,Construction Technology (Certificate of Competence - Small Equipment Repair),460415,CONSTRUCTION TRADES
UH Maui College,Sustainable Construction Tech,Certificate of Competence,Maintenance Painting,Sustainable Construction Tech (Certificate of Competence - Maintenance Painting),460000,CONSTRUCTION TRADES
UH Maui College,Automotive Mechanics Tech,Certificate of Competence,Suspension & Steering,Automotive Mechanics Tech (Certificate of Competence - Suspension & Steering),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
UH Maui College,Automotive Technology,Certificate of Competence,Suspension & Steering,Automotive Technology (Certificate of Competence - Suspension & Steering),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Honolulu Community College,Aeronautics Maint Tech,Associate in Science,,Aeronautics Maint Tech (Associate in Science),470608,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Kauai Community College,Automotive Technology,Certificate of Achievement,Heavy Line Technician,Automotive Technology (Certificate of Achievement - Heavy Line Technician),470617,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
Hawaii Community College,"Mach, Welding & Ind Mech Tech",Certificate of Achievement,,"Mach, Welding & Ind Mech Tech (Certificate of Achievement)",480508,PRECISION PRODUCTION
Honolulu Community College,Welding Technology,Associate in Applied Science,,Welding Technology (Associate in Applied Science),480508,PRECISION PRODUCTION
University of Hawaii at Hilo,Aeronautical Science,Bachelor of Science,Comm Aerial Info Technology,Aeronautical Science (Bachelor of Science - Comm Aerial Info Technology),490102,TRANSPORTATION AND MATERIALS MOVING
Windward Community College,Art,Academic Subject Certificate,,Art (Academic Subject Certificate),500701,VISUAL AND PERFORMING ARTS
Leeward Community College,Music,Academic Subject Certificate,,Music (Academic Subject Certificate),500902,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Dance,Master of Fine Arts,,Dance (Master of Fine Arts),500301,VISUAL AND PERFORMING ARTS
University of Hawaii at Hilo,Performing Arts,Subject Certificate,Hawaii Performing Arts,Performing Arts (Subject Certificate - Hawaii Performing Arts),500901,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Theatre & Dance,Bachelor of Fine Arts,Dance,Theatre & Dance (Bachelor of Fine Arts - Dance),500512,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Theatre & Dance,Master of Arts,Theatre,Theatre & Dance (Master of Arts - Theatre),500512,VISUAL AND PERFORMING ARTS
Kapiolani Community College,Medical Assisting,Certificate of Achievement,,Medical Assisting (Certificate of Achievement),510801,HEALTH PROFESSIONS AND RELATED PROGRAMS
Kapiolani Community College,Occupational Therapy Assistant,Associate in Science,,Occupational Therapy Assistant (Associate in Science),510803,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Hilo,Pharmacy,Doctor of Pharmacy,,Pharmacy (Doctor of Pharmacy),512001,HEALTH PROFESSIONS AND RELATED PROGRAMS
UH Maui College,Nursing,Certificate of Competence,Therapeutic Activity Aide,Nursing (Certificate of Competence - Therapeutic Activity Aide),513801,HEALTH PROFESSIONS AND RELATED PROGRAMS
Hawaii Community College,Substance Abuse Counseling,Certificate of Competence,Prevention Specialist,Substance Abuse Counseling (Certificate of Competence - Prevention Specialist),511501,HEALTH PROFESSIONS AND RELATED PROGRAMS
Kapiolani Community College,Mobile Intens Care Technician,Certificate of Achievement,,Mobile Intens Care Technician (Certificate of Achievement),510904,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,Dietetics,Bachelor of Science,,Dietetics (Bachelor of Science),513101,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,General (Pre-Medical Program),Bachelor of Arts,,General (Pre-Medical Program) (Bachelor of Arts),511102,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,General (Pre-Pharmacy),Bachelor of Arts,,General (Pre-Pharmacy) (Bachelor of Arts),511103,HEALTH PROFESSIONS AND RELATED PROGRAMS
